,findings_start_date,case_id,st_cd,industry,Length_alleged_violtn,Number_farm,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,labor_intensity,min_wage_federal,min_wage_min,min_wage_max,h2a_violtn_cnt
7698,2011-07-13,1662614,WA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,365.0,39500.0,375.0,0.0,1.9,12.5,6500.0,86004.25316455695,0,8.67,8.67,8.67,0
7699,2011-07-12,1626533,DE,OTHER CROP FARMING,27.0,2500.0,196.0,0.0,2.6,13.7,152.0,151006.8,0,7.25,7.25,7.25,0
7700,2012-07-20,1733503,AR,SUPPORT ACTIVITIES FOR CROP PRODUCTION,728.0,47800.0,306.0,0.0,5.4,20.1,1880.0,25263.096234309625,0,7.25,6.25,6.25,0
7701,2011-01-01,1667330,NY,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",621.0,36000.0,194.0,0.0,2.5,16.0,2206.0,57425.38888888889,1,7.25,7.25,7.25,0
7702,2011-05-18,1657259,AK,SUPPORT ACTIVITIES FOR FORESTRY,365.0,680.0,1294.0,0.0,11.1,11.7,175.0,-18911.764705882353,0,7.75,7.75,7.75,0
7703,2010-01-03,1570270,TX,SUPPORT ACTIVITIES FOR CROP PRODUCTION,20.0,247500.0,529.0,1.0,4.4,18.4,8872.0,18854.977777777778,0,7.25,7.25,7.25,0
7704,2010-01-03,1570271,TX,SUPPORT ACTIVITIES FOR CROP PRODUCTION,34.0,247500.0,529.0,1.0,4.4,18.4,8872.0,18854.977777777778,0,7.25,7.25,7.25,0
7705,2011-08-01,1687694,CA,CATTLE RANCHING AND FARMING,730.0,81500.0,312.0,1.0,2.4,16.9,13928.0,192111.0429447853,1,8.0,8.0,8.0,0
7706,2010-01-01,1598194,HI,OTHER CROP FARMING,354.0,7500.0,148.0,0.0,3.2,12.4,389.0,33344.13333333333,0,7.25,7.25,7.25,2
7707,2011-05-15,1668270,NV,OTHER CROP FARMING,474.0,2950.0,1983.0,0.0,3.1,15.5,251.0,79785.42372881355,0,8.25,7.25,8.25,1
7708,2011-06-28,1661105,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,365.0,47500.0,195.0,0.0,2.9,14.9,3950.0,49330.6947368421,0,7.25,7.25,7.25,0
7709,2012-07-05,1729737,AR,SUPPORT ACTIVITIES FOR CROP PRODUCTION,722.0,47800.0,306.0,0.0,5.4,20.1,1880.0,25263.096234309625,0,7.25,6.25,6.25,0
7710,2013-06-26,1762020,CA,SHEEP AND GOAT FARMING,729.0,77900.0,327.0,2.0,2.4,15.1,13587.0,226863.0295250321,1,8.0,8.0,8.0,0
7711,2011-12-05,1643385,FL,FRUIT AND TREE NUT FARMING,60.0,47500.0,195.0,0.0,2.9,14.9,3950.0,49330.6947368421,1,7.25,7.25,7.25,0
7712,2013-01-01,1693722,GA,VEGETABLE AND MELON FARMING,238.0,42000.0,225.0,0.0,2.8,18.5,2092.0,64674.26190476191,1,7.25,5.15,5.15,25
7713,2011-09-27,1708286,NH,FRUIT AND TREE NUT FARMING,730.0,4150.0,113.0,0.0,1.2,7.6,244.0,18660.0,1,7.25,7.25,7.25,1
7714,2010-04-15,1671997,KY,OTHER CROP FARMING,931.0,85700.0,164.0,0.0,4.1,17.7,878.0,10019.579929988331,0,7.25,7.25,7.25,13
7715,2013-10-30,1772098,MA,VEGETABLE AND MELON FARMING,729.0,7800.0,67.0,0.0,1.8,12.1,929.0,18155.128205128203,1,8.0,8.0,8.0,0
7716,2010-09-05,1667718,PA,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",730.0,63200.0,123.0,0.0,4.0,12.2,1582.0,25942.246835443035,1,7.25,7.25,7.25,0
7717,2010-02-05,1644958,AZ,SUPPORT ACTIVITIES FOR CROP PRODUCTION,729.0,15500.0,1684.0,0.0,2.8,18.8,846.0,37517.419354838705,0,7.25,7.25,7.25,57
7718,2012-05-17,1673540,NJ,SUPPORT ACTIVITIES FOR CROP PRODUCTION,158.0,10200.0,79.0,0.0,2.4,9.3,891.0,35726.56862745098,0,7.25,7.25,7.25,0
7719,2012-04-30,1657643,CA,FRUIT AND TREE NUT FARMING,21.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,1,8.0,8.0,8.0,0
7720,2012-05-01,1662580,IN,SUPPORT ACTIVITIES FOR CROP PRODUCTION,91.0,60000.0,250.0,0.0,4.2,15.2,1400.0,46765.416666666664,0,7.25,7.25,7.25,0
7721,2011-09-29,1669492,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,355.0,81500.0,312.0,1.0,2.4,16.9,13928.0,192111.0429447853,0,8.0,8.0,8.0,0
7722,2011-09-29,1669497,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,355.0,81500.0,312.0,1.0,2.4,16.9,13928.0,192111.0429447853,0,8.0,8.0,8.0,0
7723,2010-09-25,1669567,TN,VEGETABLE AND MELON FARMING,730.0,78300.0,139.0,0.0,5.4,16.7,698.0,10092.324393358876,1,7.25,7.25,7.25,0
